id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2
55,55,wyjaśnić,объяснить,verb,Czy możesz wyjaśnić mi tę decyzję?,Можешь объяснить мне это решение?,"Urzędnik wyjaśnił, jakie dokumenty są potrzebne.","Сотрудник учреждения объяснил, какие документы нужны."
56,56,przekonać,убедить,verb,Muszę przekonać szefa do mojego pomysłu.,Я должен убедить начальника в своей идее.,Nie udało mi się go przekonać.,Мне не удалось его убедить.
57,57,przyznać,"признать, предоставить",verb,"Muszę przyznać, że to był błąd.","Я должен признать, что это была ошибка.",Urząd przyznał rodzinie świadczenie.,Учреждение назначило семье пособие.
58,58,unikać,избегать,verb,Staram się unikać niepotrzebnego stresu.,Я стараюсь избегать ненужного стресса.,Warto unikać błędów w dokumentach.,Стоит избегать ошибок в документах.
59,59,rozważać,"рассматривать, обдумывать",verb,Rozważamy zakup mieszkania w Warszawie.,Мы рассматриваем покупку квартиры в Варшаве.,Firma rozważa zmianę procedury.,Компания рассматривает изменение процедуры.
60,60,porównywać,сравнивать,verb,Porównujemy oferty kilku banków.,Мы сравниваем предложения нескольких банков.,Nie warto porównywać swojej sytuacji z innymi.,Не стоит сравнивать свою ситуацию с другими.
61,61,oceniać,оценивать,verb,Trudno oceniać sytuację bez wszystkich informacji.,Трудно оценивать ситуацию без всей информации.,Pracodawca ocenia wyniki pracy zespołu.,Работодатель оценивает результаты работы команды.
62,62,dotrzeć,добраться,verb,Muszę dotrzeć do urzędu przed zamknięciem.,Мне нужно добраться до учреждения до закрытия.,Informacja szybko dotarła do wszystkich pracowników.,Информация быстро дошла до всех сотрудников.
63,63,polegać,"полагаться, заключаться",verb,Mogę polegać na moim zespole.,Я могу положиться на свою команду.,Problem polega na braku dokumentów.,Проблема заключается в отсутствии документов.
64,64,radzić,"советовать, справляться",verb,Lekarz radzi odpoczywać przez kilka dni.,Врач советует отдохнуть несколько дней.,Coraz lepiej radzę sobie po polsku.,Я всё лучше справляюсь на польском.
65,65,uwaga,внимание,noun,Proszę zwrócić uwagę na termin ważności dokumentu.,"Пожалуйста, обратите внимание на срок действия документа.",Ta uwaga była bardzo przydatna.,Это замечание было очень полезным.
66,66,wpływać,влиять,verb,Stres może wpływać na zdrowie.,Стресс может влиять на здоровье.,Decyzje rodziców wpływają na rozwój dziecka.,Решения родителей влияют на развитие ребёнка.
67,67,zwracać,"обращать, возвращать",verb,Warto zwracać uwagę na szczegóły.,Стоит обращать внимание на детали.,Sklep zwraca pieniądze za uszkodzony produkt.,Магазин возвращает деньги за повреждённый товар.
68,68,przyzwyczaić,привыкнуть,verb,Trudno było mi przyzwyczaić się do nowego miasta.,Мне было трудно привыкнуть к новому городу.,Dziecko szybko przyzwyczaiło się do przedszkola.,Ребёнок быстро привык к детскому саду.
69,69,rezygnować,отказываться,verb,Nie chcę rezygnować z nauki języka.,Я не хочу отказываться от изучения языка.,Firma rezygnuje z tej usługi.,Компания отказывается от этой услуги.
70,70,korzystać,пользоваться,verb,Codziennie korzystam z aplikacji bankowej.,Я каждый день пользуюсь банковским приложением.,Możesz korzystać z tej usługi bezpłatnie.,Ты можешь пользоваться этой услугой бесплатно.
71,71,ubiegać,"подаваться, ходатайствовать",verb,Możesz ubiegać się o dofinansowanie.,Ты можешь податься на финансирование.,Cudzoziemiec ubiega się o zezwolenie na pobyt.,Иностранец подаётся на разрешение на пребывание.
72,72,podlegać,подлежать,verb,Ten dochód podlega opodatkowaniu.,Этот доход подлежит налогообложению.,Dokumenty podlegają weryfikacji.,Документы подлежат проверке.
73,73,obejmować,"охватывать, включать",verb,Umowa obejmuje dodatkowe ubezpieczenie.,Договор включает дополнительную страховку.,Program obejmuje kilka poziomów nauki.,Программа охватывает несколько уровней обучения.
74,74,wynikać,"следовать, вытекать",verb,"Z dokumentu wynika, że decyzja jest pozytywna.","Из документа следует, что решение положительное.",Problem wynika z braku informacji.,Проблема возникает из-за отсутствия информации.
75,75,przewidywać,"предполагать, предусматривать",verb,Umowa przewiduje możliwość pracy zdalnej.,Договор предусматривает возможность удалённой работы.,Trudno przewidzieć wynik tej sprawy.,Трудно предсказать результат этого дела.
76,76,udostępniać,"предоставлять, делиться",verb,Urząd udostępnia formularze online.,Учреждение предоставляет формуляры онлайн.,Nie udostępniaj swoich danych obcym osobom.,Не передавай свои данные посторонним людям.
77,77,zapewniać,обеспечивать,verb,Pracodawca zapewnia szkolenie nowym pracownikom.,Работодатель обеспечивает обучение новым сотрудникам.,System zapewnia bezpieczeństwo danych.,Система обеспечивает безопасность данных.
78,78,potwierdzać,подтверждать,verb,Muszę potwierdzić swoją tożsamość.,Я должен подтвердить свою личность.,Dokument potwierdza moje zatrudnienie.,Документ подтверждает моё трудоустройство.
79,79,odrzucić,отклонить,verb,Bank odrzucił mój wniosek kredytowy.,Банк отклонил моё кредитное заявление.,Nie warto odrzucić tej propozycji bez rozmowy.,Не стоит отклонять это предложение без разговора.
80,80,zatwierdzić,утвердить,verb,Kierownik zatwierdził plan projektu.,Руководитель утвердил план проекта.,Wniosek został zatwierdzony przez urząd.,Заявление было утверждено учреждением.
81,81,przedłużyć,продлить,verb,Chcę przedłużyć umowę najmu.,Я хочу продлить договор аренды.,Muszę przedłużyć ważność dokumentu.,Мне нужно продлить срок действия документа.
82,82,wygasać,истекать,verb,Moje pozwolenie wygasa w grudniu.,Моё разрешение истекает в декабре.,Umowa wygasa z końcem miesiąca.,Договор истекает в конце месяца.
83,83,obowiązywać,действовать,verb,Nowe przepisy obowiązują od stycznia.,Новые правила действуют с января.,Promocja obowiązuje tylko do końca tygodnia.,Акция действует только до конца недели.
84,84,meldunek,регистрация,noun,Do wniosku potrzebny jest meldunek.,Для заявления нужна регистрация.,Nie każdy cudzoziemiec ma stały meldunek.,Не у каждого иностранца есть постоянная регистрация.
85,85,pobyt,пребывание,noun,Złożyłem wniosek o zezwolenie na pobyt.,Я подал заявление на разрешение на пребывание.,Legalny pobyt jest ważny przy wielu formalnościach.,Легальное пребывание важно при многих формальностях.
86,86,obywatelstwo,гражданство,noun,Chcę dowiedzieć się więcej o obywatelstwie.,Я хочу узнать больше о гражданстве.,Obywatelstwo można uzyskać po spełnieniu warunków.,Гражданство можно получить после выполнения условий.
87,87,zezwolenie,разрешение,noun,Czekam na zezwolenie na pobyt.,Я жду разрешение на пребывание.,Zezwolenie jest ważne przez trzy lata.,Разрешение действительно три года.
88,88,zaświadczenie,справка,noun,Potrzebuję zaświadczenia o zatrudnieniu.,Мне нужна справка о трудоустройстве.,Lekarz wystawił zaświadczenie dla pracodawcy.,Врач выдал справку для работодателя.
89,89,opłata,"оплата, сбор",noun,Opłatę trzeba zrobić przelewem.,Оплату нужно сделать банковским переводом.,Wysokość opłaty zależy od rodzaju wniosku.,Размер сбора зависит от типа заявления.
90,90,formularz,"формуляр, бланк",noun,Muszę wypełnić formularz online.,Я должен заполнить формуляр онлайн.,Formularz jest dostępny na stronie urzędu.,Бланк доступен на сайте учреждения.
91,91,sprawa,"дело, вопрос",noun,Chcę zapytać o status mojej sprawy.,Я хочу спросить о статусе моего дела.,Ta sprawa jest dla mnie bardzo ważna.,Этот вопрос для меня очень важен.
92,92,termin,"срок, дата",noun,Mam termin wizyty na przyszły tydzień.,У меня дата визита на следующую неделю.,Nie możemy przekroczyć tego terminu.,Мы не можем превысить этот срок.
93,93,umowa,договор,noun,Podpisałem nową umowę o pracę.,Я подписал новый трудовой договор.,Przed podpisaniem umowy trzeba ją dokładnie przeczytać.,Перед подписанием договора нужно внимательно его прочитать.
94,94,wynagrodzenie,"зарплата, вознаграждение",noun,Wynagrodzenie jest wypłacane raz w miesiącu.,Зарплата выплачивается один раз в месяц.,W umowie podano wysokość wynagrodzenia.,В договоре указали размер зарплаты.
95,95,stanowisko,"должность, позиция",noun,Aplikuję na stanowisko specjalisty.,Я подаюсь на должность специалиста.,Moje stanowisko wiąże się z dużą odpowiedzialnością.,Моя должность связана с большой ответственностью.
96,96,zawodowy,профессиональный,adjective,Mam pięć lat doświadczenia zawodowego.,У меня пять лет профессионального опыта.,Rozwój zawodowy jest dla mnie ważny.,Профессиональное развитие для меня важно.
97,97,kwalifikacje,квалификация,noun,To stanowisko wymaga odpowiednich kwalifikacji.,Эта должность требует соответствующей квалификации.,Chcę podnieść swoje kwalifikacje.,Я хочу повысить свою квалификацию.
98,98,szkolenie,"обучение, тренинг",noun,Firma organizuje szkolenie dla pracowników.,Компания организует обучение для сотрудников.,Po szkoleniu otrzymasz certyfikat.,После обучения ты получишь сертификат.
99,99,awans,повышение,noun,Otrzymałem awans po roku pracy.,Я получил повышение после года работы.,Awans wiąże się z większą odpowiedzialnością.,Повышение связано с большей ответственностью.
100,100,pracodawca,работодатель,noun,Pracodawca powinien jasno określić obowiązki.,Работодатель должен чётко определить обязанности.,Mój pracodawca oferuje prywatne ubezpieczenie zdrowotne.,Мой работодатель предлагает частную медицинскую страховку.
101,101,pracownik,сотрудник,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: pracownik.,Стоит хорошо понимать понятие: сотрудник.
102,102,zatrudniać,нанимать,verb,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: zatrudniać.,Стоит хорошо понимать понятие: нанимать.
103,103,zwolnić,уволить,verb,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: zwolnić.,Стоит хорошо понимать понятие: уволить.
104,104,zarobki,заработок,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: zarobki.,Стоит хорошо понимать понятие: заработок.
105,105,etat,штатная должность,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: etat.,Стоит хорошо понимать понятие: штатная должность.
106,106,urlop,отпуск,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: urlop.,Стоит хорошо понимать понятие: отпуск.
107,107,obecność,присутствие,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: obecność.,Стоит хорошо понимать понятие: присутствие.
108,108,nieobecność,отсутствие,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: nieobecność.,Стоит хорошо понимать понятие: отсутствие.
109,109,zastępstwo,замещение,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: zastępstwo.,Стоит хорошо понимать понятие: замещение.
110,110,obowiązki służbowe,служебные обязанности,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: obowiązki służbowe.,Стоит хорошо понимать понятие: служебные обязанности.
111,111,terminowość,пунктуальность,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: terminowość.,Стоит хорошо понимать понятие: пунктуальность.
112,112,wydajność,эффективность,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: wydajność.,Стоит хорошо понимать понятие: эффективность.
113,113,osiągnięcie,достижение,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: osiągnięcie.,Стоит хорошо понимать понятие: достижение.
114,114,umiejętność,навык,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: umiejętność.,Стоит хорошо понимать понятие: навык.
115,115,kompetencje,компетенции,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: kompetencje.,Стоит хорошо понимать понятие: компетенции.
116,116,doświadczać,испытывать,verb,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: doświadczać.,Стоит хорошо понимать понятие: испытывать.
117,117,rozwijać się,развиваться,verb,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: rozwijać się.,Стоит хорошо понимать понятие: развиваться.
118,118,poprawić,улучшить,verb,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: poprawić.,Стоит хорошо понимать понятие: улучшить.
119,119,pogorszyć,ухудшить,verb,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: pogorszyć.,Стоит хорошо понимать понятие: ухудшить.
120,120,spełniać,"выполнять, соответствовать",verb,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: spełniać.,"Стоит хорошо понимать понятие: выполнять, соответствовать."
121,121,wymóg,требование,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: wymóg.,Стоит хорошо понимать понятие: требование.
122,122,kandydat,кандидат,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: kandydat.,Стоит хорошо понимать понятие: кандидат.
123,123,rekrutacja,найм,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: rekrutacja.,Стоит хорошо понимать понятие: найм.
124,124,rozmowa kwalifikacyjna,собеседование,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: rozmowa kwalifikacyjna.,Стоит хорошо понимать понятие: собеседование.
125,125,zatrudniony,трудоустроенный,adjective,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: zatrudniony.,Стоит хорошо понимать понятие: трудоустроенный.
126,126,przedsiębiorca,предприниматель,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: przedsiębiorca.,Стоит хорошо понимать понятие: предприниматель.
127,127,dział księgowości,бухгалтерия,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: dział księgowości.,Стоит хорошо понимать понятие: бухгалтерия.
128,128,faktura,счёт-фактура,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: faktura.,Стоит хорошо понимать понятие: счёт-фактура.
129,129,rachunek,счёт,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: rachunek.,Стоит хорошо понимать понятие: счёт.
130,130,podatek,налог,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: podatek.,Стоит хорошо понимать понятие: налог.
131,131,urząd skarbowy,налоговая инспекция,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: urząd skarbowy.,Стоит хорошо понимать понятие: налоговая инспекция.
132,132,rozliczenie,"декларация, расчёт",noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: rozliczenie.,"Стоит хорошо понимать понятие: декларация, расчёт."
133,133,przychód,"доход, выручка",noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: przychód.,"Стоит хорошо понимать понятие: доход, выручка."
134,134,wydatek,расход,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: wydatek.,Стоит хорошо понимать понятие: расход.
135,135,oszczędność,сбережение,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: oszczędność.,Стоит хорошо понимать понятие: сбережение.
136,136,oszczędzać,экономить,verb,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: oszczędzać.,Стоит хорошо понимать понятие: экономить.
137,137,kredyt,кредит,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: kredyt.,Стоит хорошо понимать понятие: кредит.
138,138,pożyczka,заём,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: pożyczka.,Стоит хорошо понимать понятие: заём.
139,139,rata,платёж,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: rata.,Стоит хорошо понимать понятие: платёж.
140,140,oprocentowanie,процентная ставка,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: oprocentowanie.,Стоит хорошо понимать понятие: процентная ставка.
